timestamp: 394557543318708, price: 999.506, quantity: 211, buyer_order_id: 122, seller_order_id: 103
timestamp: 394557596714708, price: 999.506, quantity: 208, buyer_order_id: 123, seller_order_id: 103
timestamp: 394557596723625, price: 1000.69, quantity: 26, buyer_order_id: 123, seller_order_id: 110
timestamp: 394557651339958, price: 1000.69, quantity: 502, buyer_order_id: 124, seller_order_id: 110
timestamp: 394557651353083, price: 1001.64, quantity: 263, buyer_order_id: 124, seller_order_id: 105
timestamp: 394557761632916, price: 1001.38, quantity: 711, buyer_order_id: 125, seller_order_id: 126
timestamp: 394557816924166, price: 997.201, quantity: 7, buyer_order_id: 127, seller_order_id: 126
timestamp: 394557816933208, price: 1001.64, quantity: 505, buyer_order_id: 127, seller_order_id: 105
timestamp: 394557867249541, price: 1001.64, quantity: 100, buyer_order_id: 128, seller_order_id: 105
timestamp: 394557867261291, price: 1001.95, quantity: 302, buyer_order_id: 128, seller_order_id: 63
timestamp: 394558024005500, price: 1001.95, quantity: 19, buyer_order_id: 131, seller_order_id: 63
timestamp: 394558024017666, price: 1002.97, quantity: 95, buyer_order_id: 131, seller_order_id: 51
timestamp: 394558024023000, price: 1002.98, quantity: 69, buyer_order_id: 131, seller_order_id: 102
timestamp: 394558024027791, price: 1005.06, quantity: 252, buyer_order_id: 131, seller_order_id: 104
timestamp: 394558079332541, price: 995.093, quantity: 160, buyer_order_id: 130, seller_order_id: 132
timestamp: 394558184237541, price: 997.205, quantity: 715, buyer_order_id: 133, seller_order_id: 134
timestamp: 394558239463125, price: 1005.06, quantity: 576, buyer_order_id: 135, seller_order_id: 104
timestamp: 394558239472666, price: 1008.8, quantity: 175, buyer_order_id: 135, seller_order_id: 85
timestamp: 394558401288541, price: 1008.8, quantity: 95, buyer_order_id: 138, seller_order_id: 85
timestamp: 394558455005875, price: 1008.8, quantity: 291, buyer_order_id: 139, seller_order_id: 85
timestamp: 394558560783166, price: 1008.8, quantity: 238, buyer_order_id: 141, seller_order_id: 85
timestamp: 394558615485375, price: 1008.8, quantity: 183, buyer_order_id: 142, seller_order_id: 85
timestamp: 394558615495875, price: 1009, quantity: 575, buyer_order_id: 142, seller_order_id: 56
timestamp: 394558615500083, price: 1011.77, quantity: 34, buyer_order_id: 142, seller_order_id: 96
timestamp: 394558778871750, price: 1009.85, quantity: 784, buyer_order_id: 143, seller_order_id: 145
timestamp: 394558829755708, price: 1009.85, quantity: 143, buyer_order_id: 143, seller_order_id: 146
timestamp: 394558829764125, price: 998.971, quantity: 9, buyer_order_id: 144, seller_order_id: 146
timestamp: 394558935910416, price: 998.971, quantity: 225, buyer_order_id: 144, seller_order_id: 148
timestamp: 394558991110625, price: 1006.34, quantity: 855, buyer_order_id: 149, seller_order_id: 147
timestamp: 394559098147500, price: 989.901, quantity: 503, buyer_order_id: 150, seller_order_id: 151
timestamp: 394559151172833, price: 989.901, quantity: 240, buyer_order_id: 150, seller_order_id: 152
timestamp: 394559474055250, price: 994.491, quantity: 33, buyer_order_id: 158, seller_order_id: 156
timestamp: 394559525139625, price: 995.937, quantity: 856, buyer_order_id: 158, seller_order_id: 159
timestamp: 394559686144583, price: 1001.75, quantity: 32, buyer_order_id: 162, seller_order_id: 157
timestamp: 394559686155916, price: 1002.94, quantity: 373, buyer_order_id: 162, seller_order_id: 161
timestamp: 394559848313583, price: 1002.94, quantity: 549, buyer_order_id: 165, seller_order_id: 161
timestamp: 394559848324541, price: 1004.41, quantity: 288, buyer_order_id: 165, seller_order_id: 153
timestamp: 394559903537750, price: 1004.41, quantity: 111, buyer_order_id: 166, seller_order_id: 153
timestamp: 394560013889875, price: 1001.54, quantity: 328, buyer_order_id: 167, seller_order_id: 168
timestamp: 394560013900458, price: 993.493, quantity: 72, buyer_order_id: 164, seller_order_id: 168
timestamp: 394560064803375, price: 1004.41, quantity: 88, buyer_order_id: 169, seller_order_id: 153
timestamp: 394560173696250, price: 1004.41, quantity: 435, buyer_order_id: 171, seller_order_id: 153
timestamp: 394560173708375, price: 1005.32, quantity: 254, buyer_order_id: 171, seller_order_id: 160
timestamp: 394560173737000, price: 1005.95, quantity: 105, buyer_order_id: 171, seller_order_id: 155
timestamp: 394560173742416, price: 1006.34, quantity: 35, buyer_order_id: 171, seller_order_id: 147
timestamp: 394560173745041, price: 1011.77, quantity: 70, buyer_order_id: 171, seller_order_id: 96
timestamp: 394560332236916, price: 1003.45, quantity: 638, buyer_order_id: 172, seller_order_id: 174
